Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,id,Comments,INDEX
0.0,2.73359449E-4,3.0,-25.176,0.0443,0.7241507920000001,6.19E-5,8.06954491E-4,0.34,83.398,117907.0,,137622.0,1.998137E7,0,3070.0,0
0.0,0.1842200089999999,7.0,,,0.672221376,0.91,0.034965783,0.746,148.692,173427.0,184825.0,5190.0,,1,122.0,1
0.0,,6.0,-15.596,,0.667627624,0.867,0.0017715609999999,0.38,84.899,150667.0,184825.0,5190.0,1.932081E7,2,122.0,2
1.0,0.2095845839999999,,-6.251,0.0277,0.003796416,,0.001,,150.22,265000.0,2.02457327E8,997035.0,3.99661898E8,3,24350.0,3
4.0,,5.0,,0.026,3.0486250000000004E-6,4.67E-4,0.0029242069999999,0.295,97.997,263867.0,3.16688049E8,1299086.0,,4,31150.0,4
6.0,0.442450728,7.0,,0.0326,1.7575999999999996E-5,0.0,9.44076141E-4,0.842,103.032,260560.0,249074.0,922.0,2.01457474E8,5,140.0,5
0.0,0.2258665289999999,10.0,,0.0323,0.291434247,1.13E-5,0.010793861,,166.668,258027.0,7.6758188E7,252380.0,1.36332369E8,6,6860.0,6
6.0,0.4949136710000001,10.0,-6.63,0.0414,4.9836032E-5,0.0,3.34255384E-4,0.879,116.043,,1.05107732E8,740856.0,1.40211873E8,7,43300.0,7
1.0,0.8986321249999999,10.0,-5.022,,4.826808999999999E-12,,6.22835864E-4,0.347,125.152,262000.0,2.2878351E7,93766.0,1.2820104E8,8,3668.0,8
5.0,,,,0.0261,0.0789535889999999,,0.0052680239999999,0.677,106.191,170493.0,4.4458549E7,276258.0,1.05775598E8,9,6509.0,9
1.0,0.3548949119999999,1.0,,0.0301,5.1064811E-5,0.0,9.880479359999E-4,0.612,164.001,203438.0,2419753.0,,1.5191393E7,10,1861.0,10
3.0,0.6294227929999999,5.0,-5.173,0.0589,2.7818127000000002E-8,2.23E-6,0.0229063039999999,0.759,96.231,260400.0,8.6252134E7,357275.0,5.3372857E7,11,9334.0,11
2.0,0.144703125,6.0,-7.31,0.0341,0.0050884479999999,0.0,0.002406104,0.291,156.207,204640.0,2.6341526E7,83668.0,4.5956641E7,12,2923.0,12
0.0,0.0065392029999999,2.0,,,0.967361669,,0.001030301,0.213,132.731,,8.8490455E7,1939359.0,4.27523589E8,13,3259.0,13
1.0,1.2167E-5,0.0,-29.372,0.0364,0.921167317,0.915,,0.226,132.813,96625.0,86950.0,955.0,5016602.0,14,7.0,14
2.0,0.0033749999999999,,-22.415,0.0355,0.944076141,0.94,0.0018608669999999,,134.311,89601.0,86950.0,955.0,8273038.0,15,7.0,15
0.0,0.003869893,4.0,-16.714,0.0331,0.941192,0.0103,5.86376253E-4,0.319,77.483,175644.0,2273744.0,,2.6635618E7,16,1275.0,16
1.0,3.40068392E-4,6.0,-16.827,,0.973242271,0.103,0.001295029,0.232,105.202,187373.0,9236037.0,62809.0,2.9325998E7,17,2114.0,17
0.0,0.036926037,3.0,-13.012,,,0.594,0.020570824,0.272,144.553,272467.0,,240853.0,2.314597E7,18,1141.0,18
5.0,0.031255875,6.0,-13.781,0.0388,0.6162950509999999,2.61E-4,0.0018608669999999,0.578,125.231,194000.0,1870898.0,35807.0,,19,576.0,19
0.0,0.036264691,8.0,-12.953,0.0648,0.8439086249999999,0.0263,0.0462682789999999,0.576,170.721,162286.0,19436.0,1119.0,9516698.0,20,55.0,20
1.0,0.0133120529999999,6.0,-14.936,0.0334,0.7660608750000001,0.807,0.0018608669999999,0.082,117.069,217606.0,706018.0,7201.0,1.9457528E7,21,167.0,21
9.0,0.258474853,1.0,,0.101,1.3738809599999996E-7,2.5E-6,8.81974079E-4,0.569,119.988,272080.0,4.09897329E8,1749518.0,4.50534734E8,22,34870.0,22
5.0,0.437245479,6.0,-4.315,0.306,2.8632880000000007E-6,0.0,,0.518,85.996,324307.0,2.95026831E8,2212839.0,2.27592322E8,23,32923.0,23
8.0,0.529475129,4.0,-6.759,0.251,0.0869383069999999,0.00175,2.30346397E-4,0.737,83.011,231240.0,6.0823771E7,403945.0,2.20334731E8,24,12928.0,24
9.0,0.241804367,,-6.711,0.303,6.44972544E-7,4.19E-6,,0.715,99.498,,3.1503357E7,293459.0,,25,8605.0,25
2.0,0.7863304670000001,10.0,-3.99,0.304,,1.2E-5,0.001331,0.72,79.675,237233.0,2434744.0,63107.0,1.6694375E7,26,1919.0,26
3.0,,10.0,,0.339,5.759303679999998E-7,5.87E-5,0.458314011,0.78,136.734,158467.0,1.2105762E7,145123.0,5.3722491E7,27,5263.0,27
5.0,,,,0.37,,1.08E-4,0.007645373,0.442,138.335,,7.3500123E7,547052.0,4.1668859E7,28,20151.0,28
2.0,0.1140841249999999,5.0,-13.131,0.439,0.4967930880000001,0.00198,0.0010612079999999,0.698,174.836,202451.0,518998.0,19870.0,3718088.0,29,610.0,29
5.0,0.2236485429999999,4.0,,0.219,,,3.54894912E-4,0.526,86.055,252360.0,2.95026831E8,,2.7414643E7,30,32923.0,30
6.0,0.4986772570000001,6.0,-4.699,0.323,,0.0,2.371766589999E-4,0.56,89.767,238600.0,2.7097198E7,189648.0,,31,6751.0,31
8.0,0.133432831,10.0,-8.914,0.0319,,0.0,3.034644479999E-4,0.771,94.736,227653.0,1.8701629E7,,4.02838433E8,32,,32
3.0,0.020123648,2.0,,0.0501,0.669921875,,0.002197,0.354,205.846,188238.0,,2539804.0,9.47117209E8,33,,33
1.0,0.120553784,7.0,-10.407,0.0312,,0.0944,0.2348851129999999,0.373,79.255,229827.0,9091676.0,116240.0,1.09527635E8,34,5253.0,34
8.0,0.322828856,10.0,-10.456,0.0472,,9.82E-4,,0.828,117.743,235693.0,79796.0,1240.0,8.2300943E7,35,16.0,35
6.0,0.0523136239999999,8.0,-6.665,0.0399,0.246491883,0.0,0.001331,,,143531.0,2876944.0,,3.9109023E7,36,2971.0,36
5.0,0.4855876560000001,9.0,-10.915,0.0341,0.005929741,5.3E-6,0.0011248639999999,0.812,159.996,202000.0,350629.0,9782.0,2.2699812E7,37,674.0,37
3.0,0.3313738879999999,4.0,-7.881,0.0379,4.81890304E-4,0.0,3.8614471999999984E-5,0.708,160.697,226267.0,613769.0,6355.0,4.9600732E7,38,139.0,38
4.0,0.065939264,4.0,-12.366,0.0256,0.2032974719999999,0.00143,0.0011248639999999,0.867,94.285,153413.0,,,1.278782E7,39,64.0,39
6.0,0.037595375,7.0,-13.534,0.034,0.0251537569999999,0.00845,6.630548479999E-4,0.824,122.239,222533.0,7508.0,141.0,2.475419E7,40,1.0,40
6.0,6.405039279999E-4,9.0,-17.696,,0.5393531439999998,2.59E-4,0.006967871,,90.666,,647837.0,11454.0,2.0386329E7,41,109.0,41
6.0,,,,,0.0054517759999999,6.22E-4,0.001520875,0.68,123.57,,2.6276321E7,239386.0,4.49706835E8,42,,42
5.0,0.089314623,0.0,-13.148,0.0303,0.1092153519999999,0.00105,9.85074875E-4,0.523,121.989,268867.0,418605.0,1367.0,1.45647003E8,43,95.0,43
6.0,0.5863762529999998,,-6.968,0.0282,,1.15E-5,0.075151448,0.919,129.881,161440.0,2909425.0,17713.0,2.474898E8,44,698.0,44
5.0,0.413493625,,,0.0291,0.003581577,4.33E-6,0.7635519440000001,0.582,,242413.0,4.8359522E7,218216.0,,45,4641.0,45
3.0,0.7685752960000001,2.0,-4.316,,0.006644672,9.9E-6,0.004173281,,136.993,221720.0,2.2304997E7,119571.0,,46,3497.0,46
2.0,0.273359449,9.0,-5.534,,0.002146689,,0.019902511,0.408,83.405,268600.0,268948.0,4324.0,6.6214013E7,47,339.0,47
4.0,0.3518958159999999,7.0,-11.262,0.0283,6.331624999999999E-6,0.0,0.082881856,,137.145,290064.0,746247.0,12264.0,3.4702661E7,48,744.0,48
4.0,,0.0,-8.233,0.0291,0.017984728,,0.8930563469999999,,121.961,293227.0,4.9623825E7,134217.0,1.30092726E8,49,4859.0,49
7.0,0.5863762529999998,9.0,-5.325,0.032,0.016974593,1.31E-5,0.033386248,0.559,120.04,295013.0,1.1323375E7,58787.0,4.2896611E7,50,1864.0,50
3.0,0.034328125,0.0,-11.515,0.0275,0.0466559999999999,0.0,0.001442897,0.151,81.638,173373.0,190480.0,,3.2957886E7,51,336.0,51
4.0,0.5990771069999999,9.0,,0.0557,2.9791E-8,0.0337,0.088121125,0.503,172.676,194867.0,2.9241488E7,497777.0,4.11824343E8,52,14826.0,52
7.0,0.3594254309999999,2.0,-5.503,0.0352,2.4389E-8,2.75E-4,8.519713919999E-4,,112.305,225760.0,618870.0,5975.0,2.1786454E8,53,176.0,53
2.0,0.529475129,,-5.754,0.0539,2.4642171E-5,2.34E-4,7.510894289999E-4,0.559,119.651,184360.0,4892898.0,44216.0,1.44532527E8,54,1547.0,54
4.0,0.8492781229999998,10.0,-3.225,,3.3076161000000006E-8,3.78E-5,7.21734273E-4,0.487,102.238,132853.0,2803490.0,29580.0,6.8990772E7,55,,55
3.0,0.563559976,1.0,-5.603,0.0816,,0.00128,1.29554216E-4,0.573,,270680.0,4.796518E7,167010.0,8.325661E7,56,7952.0,56
5.0,0.426957777,,-5.002,0.119,,0.0,3.579109999999E-4,0.424,120.057,,,,6.1921081E7,57,71.0,57
5.0,,0.0,-5.122,0.0434,8.288185599999999E-5,6.31E-6,1.183707709999E-4,0.828,148.018,235467.0,4271710.0,36679.0,4.9106055E7,58,667.0,58
8.0,,,-10.595,0.0426,0.119823157,0.147,0.001092727,0.263,128.026,,240714.0,2883.0,5.3498466E7,59,,59
6.0,,,-5.737,,8.412323840000001E-7,1.77E-4,6.382773809999E-4,0.433,111.0,261840.0,3929494.0,,,60,168.0,60
5.0,,5.0,-4.496,,0.002628072,0.00643,1.609891839999E-4,,77.677,201360.0,4625811.0,,3.5744541E7,61,556.0,61
1.0,0.0011248639999999,6.0,,0.0445,0.921167317,,0.0016851589999999,0.162,120.484,,1.5711126E7,244788.0,1.93705968E8,62,6834.0,62
0.0,0.030959144,5.0,-18.197,0.0407,0.8358968879999998,0.676,7.09732288E-4,0.2,75.056,247808.0,1.7645535E7,224423.0,1.41143374E8,63,,63
2.0,0.004096,4.0,-21.04,,0.958585256,0.0176,0.001442897,0.395,169.898,239508.0,8471245.0,78690.0,7.9455335E7,64,,64
2.0,,,-20.696,0.0317,0.941192,0.263,0.002000376,0.296,90.928,307698.0,1.8188095E7,161891.0,1.11668452E8,65,,65
1.0,,4.0,-19.991,0.0304,0.8682506639999998,0.847,9.55671625E-4,0.252,140.096,135444.0,1221363.0,17659.0,5.3987535E7,66,26.0,66
2.0,0.0031121359999999,3.0,-19.585,0.0389,0.961504803,0.0688,0.0012250429999999,,,284131.0,7317644.0,49505.0,1.15351781E8,67,1021.0,67
2.0,0.004330747,0.0,-18.131,0.0489,0.794022776,0.751,0.001520875,0.356,142.119,168040.0,1238928.0,11495.0,9.3762318E7,68,318.0,68
3.0,0.099897344,7.0,-9.657,0.0304,0.2002016249999999,0.0,,0.446,124.97,364613.0,,1315.0,6.6599419E7,69,69.0,69
3.0,,4.0,-18.645,0.0339,0.979146657,0.908,7.19323136E-4,0.369,,133267.0,1097364.0,23871.0,3.1119978E7,70,514.0,70
0.0,0.092345408,10.0,-10.422,0.0307,,0.00228,0.3270827689999999,0.189,113.066,,2.40025467E8,1279053.0,3.74908872E8,71,59796.0,71
